path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.youtube-video-uploader.git.txt	1070	19	2026-06-11 12:23:11.139111767 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.ai-auto-repo-rot-scanner-todo-agent.git.txt	1393	19	2026-06-11 12:13:32.346166089 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.ai-auto-writer.git.txt	1203	20	2026-06-11 12:13:32.387166804 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.avid.git.txt	1434	20	2026-06-11 12:13:32.434167623 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.browser-extensions-shared.git.txt	4345	30	2026-06-11 12:13:32.268164731 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.dracon-ai-lib.git.txt	1100	15	2026-06-11 12:13:32.310165462 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.dracon-code.git.txt	12833	29	2026-06-11 12:13:32.040160759 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.DraconDev.git.txt	1327	19	2026-06-11 12:13:32.360166333 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before..dracon.git.txt	1229	19	2026-06-11 12:13:32.296165218 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.dracon-libs.git.txt	1034	19	2026-06-11 12:13:32.459168058 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.dracon-platform.git.txt	3810	33	2026-06-11 12:13:32.125162239 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.dracon-utilities.git.txt	4538	37	2026-06-11 12:13:32.097161751 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.folder-auto-banner.git.txt	1072	19	2026-06-11 12:13:32.324165706 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.Junk-Runner-bevy.git.txt	1318	22	2026-06-11 12:13:32.068161246 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.kiki-sassy-desktop-announcer.git.txt	1216	19	2026-06-11 12:13:32.472168285 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.one-mil-girls.git.txt	1314	19	2026-06-11 12:13:32.081161473 +0100
